Category,resource_type,cluster_id,instance_id,name
Resources to add,google_alloydb_cluster,adbc-abex-central1-stage,,
Resources to add,google_alloydb_cluster,adbc-abex-central1-stage,,
Resources to add,google_alloydb_instance,,adb-abex-central1-primary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-primary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-secondary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-secondary-stage,
Resources to add,google_alloydb_cluster,adbc-abex-central1-stage,,
Resources to add,google_alloydb_cluster,adbc-abex-central1-stage,,
Resources to add,google_alloydb_instance,,adb-abex-central1-primary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-primary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-secondary-stage,
Resources to add,google_alloydb_instance,,adb-abex-central1-secondary-stage,
Resources to add,google_bigtable_instance,,,btdb_fs_streaming_central1_stage
Resources to add,google_compute_address,,,ip-online-optimized-fs-central1-stage
Resources to add,google_compute_forwarding_rule,,,psc-ep-online-optimized-fs-central1-stage
Resources to add,google_vertex_ai_feature_online_store,,,vai_fs_online_bigtable_central1_stage
Resources to add,google_vertex_ai_feature_online_store,,,vai_fs_online_optimized_central1_stage
Resources to add,google_bigtable_instance,,,btdb_fs_streaming_central1_stage
Resources to add,google_compute_address,,,ip-online-optimized-fs-central1-stage
Resources to add,google_compute_forwarding_rule,,,psc-ep-online-optimized-fs-central1-stage
Resources to add,google_vertex_ai_feature_online_store,,,vai_fs_online_bigtable_central1_stage
Resources to add,google_vertex_ai_feature_online_store,,,vai_fs_online_optimized_central1_stage
Resources to add,google_compute_address,,,ip-online-prediction-ep-lb-central1-stage
Resources to add,google_compute_forwarding_rule,,,forwarding-rule-online-prediction-ep-central1-stage
Resources to add,google_compute_region_backend_service,,,backend-srv-online-prediction-ep-central1-stage
Resources to add,google_compute_region_network_endpoint_group,,,neg-online-prediction-ep-central1-stage
Resources to add,google_compute_region_target_tcp_proxy,,,target-proxy-online-prediction-ep-central1-stage
Resources to add,google_compute_address,,,ip-online-prediction-ep-lb-central1-stage
Resources to add,google_compute_forwarding_rule,,,forwarding-rule-online-prediction-ep-central1-stage
Resources to add,google_compute_region_backend_service,,,backend-srv-online-prediction-ep-central1-stage
Resources to add,google_compute_region_network_endpoint_group,,,neg-online-prediction-ep-central1-stage
Resources to add,google_compute_region_target_tcp_proxy,,,target-proxy-online-prediction-ep-central1-stage
Resources to change,google_bigquery_dataset,,,Kroger PZN Reco Sys Feature Store Dataset
Resources to change,google_storage_bucket_iam_binding,,,
Resources to destroy,google_alloydb_cluster,adbc-abex-us-central1-stage,,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage
Resources to destroy,google_alloydb_cluster,adbc-abex-us-central1-stage,,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-primary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-primary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-primary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-primary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-secondary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-secondary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-secondary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-secondary-stage
Resources to destroy,google_alloydb_cluster,adbc-abex-us-central1-stage,,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage
Resources to destroy,google_alloydb_cluster,adbc-abex-us-central1-stage,,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-primary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-primary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-primary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-primary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-secondary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-secondary-stage
Resources to destroy,google_alloydb_instance,,adb-abex-us-central1-secondary-stage,projects/kr-10345-pznpfm-s/locations/us-central1/clusters/adbc-abex-us-central1-stage/instances/adb-abex-us-central1-secondary-stage
Resources to destroy,google_bigtable_instance,,,btdb-fs-streaming-stage
Resources to destroy,google_compute_address,,,ip-online-optimized-fs-stage
Resources to destroy,google_compute_forwarding_rule,,,psc-ep-online-optimized-fs-stage
Resources to destroy,google_vertex_ai_feature_online_store,,,vai_fs_online_bigtable_stage
Resources to destroy,google_vertex_ai_feature_online_store,,,vai_fs_online_optimized_stage
Resources to destroy,google_compute_address,,,ip-online-prediction-ep-lb-stage
Resources to destroy,google_compute_forwarding_rule,,,forwarding-rule-online-prediction-ep-stage
Resources to destroy,google_compute_region_backend_service,,,http
Resources to destroy,google_compute_region_network_endpoint_group,,,neg-online-prediction-ep-stage
Resources to destroy,google_compute_region_target_tcp_proxy,,,target-proxy-online-prediction-ep-stage
